Litter_Bag_ID,Plot_ID,Microbe_Origin,Litter_Origin,Collection_Date,Lab_Group
11ERC2C,G05RRX,RX,RX,2011-06-14,Steve Allison
11GLA2A,G07LRX,XX,XX,2011-06-14,Steve Allison
11GLA2C,G07LRX,RX,XX,2011-06-14,Steve Allison
11GLC2A,G07LRX,XX,RX,2011-06-14,Steve Allison
11GLC2C,G07LRX,RX,RX,2011-06-14,Steve Allison
11HLA2A,G08LXX,XX,XX,2011-06-14,Steve Allison
11HLA2B,G08LXX,XN,XX,2011-06-14,Steve Allison
11HLA2C,G08LXX,RX,XX,2011-06-14,Steve Allison
11HLB2A,G08LXX,XX,XN,2011-06-14,Steve Allison
11HLB2B,G08LXX,XN,XN,2011-06-14,Steve Allison
11HLC2A,G08LXX,XX,RX,2011-06-14,Steve Allison
11HLC2C,G08LXX,RX,RX,2011-06-14,Steve Allison
11HRA2A,G08RXN,XX,XX,2011-06-14,Steve Allison
11HRA2B,G08RXN,XN,XX,2011-06-14,Steve Allison
11HRB2A,G08RXN,XX,XN,2011-06-14,Steve Allison
11HRB2B,G08RXN,XN,XN,2011-06-14,Steve Allison
11JRA2A,G11RRX,XX,XX,2011-06-14,Steve Allison
11JRA2C,G11RRX,RX,XX,2011-06-14,Steve Allison
11JRC2A,G11RRX,XX,RX,2011-06-14,Steve Allison
11JRC2C,G11RRX,RX,RX,2011-06-14,Steve Allison
11KLA2A,G12LXN,XX,XX,2011-06-14,Steve Allison
11KLA2B,G12LXN,XN,XX,2011-06-14,Steve Allison
11KLB2A,G12LXN,XX,XN,2011-06-14,Steve Allison
11KLB2B,G12LXN,XN,XN,2011-06-14,Steve Allison
11KRA2A,G12RXX,XX,XX,2011-06-14,Steve Allison
11KRA2B,G12RXX,XN,XX,2011-06-14,Steve Allison
11KRA2C,G12RXX,RX,XX,2011-06-14,Steve Allison
11KRB2A,G12RXX,XX,XN,2011-06-14,Steve Allison
11KRB2B,G12RXX,XN,XN,2011-06-14,Steve Allison
11KRC2A,G12RXX,XX,RX,2011-06-14,Steve Allison
11KRC2C,G12RXX,RX,RX,2011-06-14,Steve Allison
11MRA2A,G14RRX,XX,XX,2011-06-14,Steve Allison
11MRA2C,G14RRX,RX,XX,2011-06-14,Steve Allison
11MRC2A,G14RRX,XX,RX,2011-06-14,Steve Allison
11MRC2C,G14RRX,RX,RX,2011-06-14,Steve Allison
11NRA2A,G15RRX,XX,XX,2011-06-14,Steve Allison
11NRA2C,G15RRX,RX,XX,2011-06-14,Steve Allison
11NRC2A,G15RRX,XX,RX,2011-06-14,Steve Allison
11NRC2C,G15RRX,RX,RX,2011-06-14,Steve Allison
11OLA2A,G16LXN,XX,XX,2011-06-14,Steve Allison
11OLA2B,G16LXN,XN,XX,2011-06-14,Steve Allison
11OLB2A,G16LXN,XX,XN,2011-06-14,Steve Allison
11OLB2B,G16LXN,XN,XN,2011-06-14,Steve Allison
11ORA2A,G16RXX,XX,XX,2011-06-14,Steve Allison
11ORA2B,G16RXX,XN,XX,2011-06-14,Steve Allison
11ORA2C,G16RXX,RX,XX,2011-06-14,Steve Allison
11ORB2A,G16RXX,XX,XN,2011-06-14,Steve Allison
11ORB2B,G16RXX,XN,XN,2011-06-14,Steve Allison
11ORC2A,G16RXX,XX,RX,2011-06-14,Steve Allison
11ORC2C,G16RXX,RX,RX,2011-06-14,Steve Allison
11QLA2A,G18LXN,XX,XX,2011-06-14,Steve Allison
11QLA2B,G18LXN,XN,XX,2011-06-14,Steve Allison
11QLB2A,G18LXN,XX,XN,2011-06-14,Steve Allison
11QLB2B,G18LXN,XN,XN,2011-06-14,Steve Allison
11QRA2A,G18RXX,XX,XX,2011-06-14,Steve Allison
11QRA2B,G18RXX,XN,XX,2011-06-14,Steve Allison
11QRA2C,G18RXX,RX,XX,2011-06-14,Steve Allison
11QRB2A,G18RXX,XX,XN,2011-06-14,Steve Allison
11QRB2B,G18RXX,XN,XN,2011-06-14,Steve Allison
11QRC2A,G18RXX,XX,RX,2011-06-14,Steve Allison
11QRC2C,G18RXX,RX,RX,2011-06-14,Steve Allison
11RLA2A,G19LXX,XX,XX,2011-06-14,Steve Allison
11RLA2B,G19LXX,XN,XX,2011-06-14,Steve Allison
11RLA2C,G19LXX,RX,XX,2011-06-14,Steve Allison
11RLB2A,G19LXX,XX,XN,2011-06-14,Steve Allison
11RLB2B,G19LXX,XN,XN,2011-06-14,Steve Allison
11RLC2A,G19LXX,XX,RX,2011-06-14,Steve Allison
11RLC2C,G19LXX,RX,RX,2011-06-14,Steve Allison
11RRA2A,G19RXN,XX,XX,2011-06-14,Steve Allison
11RRA2B,G19RXN,XN,XX,2011-06-14,Steve Allison
11RRB2A,G19RXN,XX,XN,2011-06-14,Steve Allison
11RRB2B,G19RXN,XN,XN,2011-06-14,Steve Allison
11SLA2A,G20LRX,XX,XX,2011-06-14,Steve Allison
11SLA2C,G20LRX,RX,XX,2011-06-14,Steve Allison
11SLC2A,G20LRX,XX,RX,2011-06-14,Steve Allison
11SLC2C,G20LRX,RX,RX,2011-06-14,Steve Allison
11TLA2A,G21LRX,XX,XX,2011-06-14,Steve Allison
11TLA2C,G21LRX,RX,XX,2011-06-14,Steve Allison
11TLC2A,G21LRX,XX,RX,2011-06-14,Steve Allison
11TLC2C,G21LRX,RX,RX,2011-06-14,Steve Allison
11ULA2A,G22LXX,XX,XX,2011-06-14,Steve Allison
11ULA2B,G22LXX,XN,XX,2011-06-14,Steve Allison
11ULA2C,G22LXX,RX,XX,2011-06-14,Steve Allison
11ULB2A,G22LXX,XX,XN,2011-06-14,Steve Allison
11ULB2B,G22LXX,XN,XN,2011-06-14,Steve Allison
11ULC2A,G22LXX,XX,RX,2011-06-14,Steve Allison
11ULC2C,G22LXX,RX,RX,2011-06-14,Steve Allison
11URA2A,G22RXN,XX,XX,2011-06-14,Steve Allison
11URA2B,G22RXN,XN,XX,2011-06-14,Steve Allison
11URB2A,G22RXN,XX,XN,2011-06-14,Steve Allison
11URB2B,G22RXN,XN,XN,2011-06-14,Steve Allison
11ALA3A,G01LXN,XX,XX,2011-11-14,Steve Allison
11ALA3B,G01LXN,XN,XX,2011-11-14,Steve Allison
11ALB3A,G01LXN,XX,XN,2011-11-14,Steve Allison
11ALB3B,G01LXN,XN,XN,2011-11-14,Steve Allison
11ARA3A,G01RXX,XX,XX,2011-11-14,Steve Allison
11ARA3B,G01RXX,XN,XX,2011-11-14,Steve Allison
11ARA3C,G01RXX,RX,XX,2011-11-14,Steve Allison
11ARB3A,G01RXX,XX,XN,2011-11-14,Steve Allison
11ARB3B,G01RXX,XN,XN,2011-11-14,Steve Allison
11ARC3A,G01RXX,XX,RX,2011-11-14,Steve Allison
11ARC3C,G01RXX,RX,RX,2011-11-14,Steve Allison
11CLA3A,G03LRX,XX,XX,2011-11-14,Steve Allison
11CLA3C,G03LRX,RX,XX,2011-11-14,Steve Allison
11CLC3A,G03LRX,XX,RX,2011-11-14,Steve Allison
11CLC3C,G03LRX,RX,RX,2011-11-14,Steve Allison
11DLA3A,G04LXX,XX,XX,2011-11-14,Steve Allison
11DLA3B,G04LXX,XN,XX,2011-11-14,Steve Allison
11DLA3C,G04LXX,RX,XX,2011-11-14,Steve Allison
11DLB3A,G04LXX,XX,XN,2011-11-14,Steve Allison
11DLB3B,G04LXX,XN,XN,2011-11-14,Steve Allison
11DLC3A,G04LXX,XX,RX,2011-11-14,Steve Allison
11DLC3C,G04LXX,RX,RX,2011-11-14,Steve Allison
11DRA3A,G04RXN,XX,XX,2011-11-14,Steve Allison
11DRA3B,G04RXN,XN,XX,2011-11-14,Steve Allison
11DRB3A,G04RXN,XX,XN,2011-11-14,Steve Allison
11DRB3B,G04RXN,XN,XN,2011-11-14,Steve Allison
11ERA3A,G05RRX,XX,XX,2011-11-14,Steve Allison
11ERA3C,G05RRX,RX,XX,2011-11-14,Steve Allison
11ERC3A,G05RRX,XX,RX,2011-11-14,Steve Allison
11ERC3C,G05RRX,RX,RX,2011-11-14,Steve Allison
11GLA3A,G07LRX,XX,XX,2011-11-14,Steve Allison
11GLA3C,G07LRX,RX,XX,2011-11-14,Steve Allison
11GLC3A,G07LRX,XX,RX,2011-11-14,Steve Allison
11GLC3C,G07LRX,RX,RX,2011-11-14,Steve Allison
11HLA3A,G08LXX,XX,XX,2011-11-14,Steve Allison
11HLA3B,G08LXX,XN,XX,2011-11-14,Steve Allison
11HLA3C,G08LXX,RX,XX,2011-11-14,Steve Allison
11HLB3A,G08LXX,XX,XN,2011-11-14,Steve Allison
11HLB3B,G08LXX,XN,XN,2011-11-14,Steve Allison
11HLC3A,G08LXX,XX,RX,2011-11-14,Steve Allison
11HLC3C,G08LXX,RX,RX,2011-11-14,Steve Allison
11HRA3A,G08RXN,XX,XX,2011-11-14,Steve Allison
11HRA3B,G08RXN,XN,XX,2011-11-14,Steve Allison
11HRB3A,G08RXN,XX,XN,2011-11-14,Steve Allison
11HRB3B,G08RXN,XN,XN,2011-11-14,Steve Allison
11JRA3A,G11RRX,XX,XX,2011-11-14,Steve Allison
11JRA3C,G11RRX,RX,XX,2011-11-14,Steve Allison
11JRC3A,G11RRX,XX,RX,2011-11-14,Steve Allison
11JRC3C,G11RRX,RX,RX,2011-11-14,Steve Allison
11KLA3A,G12LXN,XX,XX,2011-11-14,Steve Allison
11KLA3B,G12LXN,XN,XX,2011-11-14,Steve Allison
11KLB3A,G12LXN,XX,XN,2011-11-14,Steve Allison
11KLB3B,G12LXN,XN,XN,2011-11-14,Steve Allison
11KRA3A,G12RXX,XX,XX,2011-11-14,Steve Allison
11KRA3B,G12RXX,XN,XX,2011-11-14,Steve Allison
11KRA3C,G12RXX,RX,XX,2011-11-14,Steve Allison
11KRB3A,G12RXX,XX,XN,2011-11-14,Steve Allison
11KRB3B,G12RXX,XN,XN,2011-11-14,Steve Allison
11KRC3A,G12RXX,XX,RX,2011-11-14,Steve Allison
11KRC3C,G12RXX,RX,RX,2011-11-14,Steve Allison
11MRA3A,G14RRX,XX,XX,2011-11-14,Steve Allison
11MRA3C,G14RRX,RX,XX,2011-11-14,Steve Allison
11MRC3A,G14RRX,XX,RX,2011-11-14,Steve Allison
11MRC3C,G14RRX,RX,RX,2011-11-14,Steve Allison
11NRA3A,G15RRX,XX,XX,2011-11-14,Steve Allison
11NRA3C,G15RRX,RX,XX,2011-11-14,Steve Allison
11NRC3A,G15RRX,XX,RX,2011-11-14,Steve Allison
11NRC3C,G15RRX,RX,RX,2011-11-14,Steve Allison
11OLA3A,G16LXN,XX,XX,2011-11-14,Steve Allison
11OLA3B,G16LXN,XN,XX,2011-11-14,Steve Allison
11OLB3A,G16LXN,XX,XN,2011-11-14,Steve Allison
11OLB3B,G16LXN,XN,XN,2011-11-14,Steve Allison
11ORA3A,G16RXX,XX,XX,2011-11-14,Steve Allison
11ORA3B,G16RXX,XN,XX,2011-11-14,Steve Allison
11ORA3C,G16RXX,RX,XX,2011-11-14,Steve Allison
11ORB3A,G16RXX,XX,XN,2011-11-14,Steve Allison
11ORB3B,G16RXX,XN,XN,2011-11-14,Steve Allison
11ORC3A,G16RXX,XX,RX,2011-11-14,Steve Allison
11ORC3C,G16RXX,RX,RX,2011-11-14,Steve Allison
11QLA3A,G18LXN,XX,XX,2011-11-14,Steve Allison
11QLA3B,G18LXN,XN,XX,2011-11-14,Steve Allison
11QLB3A,G18LXN,XX,XN,2011-11-14,Steve Allison
11QLB3B,G18LXN,XN,XN,2011-11-14,Steve Allison
11QRA3A,G18RXX,XX,XX,2011-11-14,Steve Allison
11QRA3B,G18RXX,XN,XX,2011-11-14,Steve Allison
11QRA3C,G18RXX,RX,XX,2011-11-14,Steve Allison
11QRB3A,G18RXX,XX,XN,2011-11-14,Steve Allison
11QRB3B,G18RXX,XN,XN,2011-11-14,Steve Allison
11QRC3A,G18RXX,XX,RX,2011-11-14,Steve Allison
11QRC3C,G18RXX,RX,RX,2011-11-14,Steve Allison
11RLA3A,G19LXX,XX,XX,2011-11-14,Steve Allison
11RLA3B,G19LXX,XN,XX,2011-11-14,Steve Allison
11RLA3C,G19LXX,RX,XX,2011-11-14,Steve Allison
11RLB3A,G19LXX,XX,XN,2011-11-14,Steve Allison
11RLB3B,G19LXX,XN,XN,2011-11-14,Steve Allison
11RLC3A,G19LXX,XX,RX,2011-11-14,Steve Allison
11RLC3C,G19LXX,RX,RX,2011-11-14,Steve Allison
11RRA3A,G19RXN,XX,XX,2011-11-14,Steve Allison
11RRA3B,G19RXN,XN,XX,2011-11-14,Steve Allison
11RRB3A,G19RXN,XX,XN,2011-11-14,Steve Allison
11RRB3B,G19RXN,XN,XN,2011-11-14,Steve Allison
11SLA3A,G20LRX,XX,XX,2011-11-14,Steve Allison
11SLA3C,G20LRX,RX,XX,2011-11-14,Steve Allison
11SLC3A,G20LRX,XX,RX,2011-11-14,Steve Allison
11SLC3C,G20LRX,RX,RX,2011-11-14,Steve Allison
11TLA3A,G21LRX,XX,XX,2011-11-14,Steve Allison
11TLA3C,G21LRX,RX,XX,2011-11-14,Steve Allison
11TLC3A,G21LRX,XX,RX,2011-11-14,Steve Allison
11TLC3C,G21LRX,RX,RX,2011-11-14,Steve Allison
11ULA3A,G22LXX,XX,XX,2011-11-14,Steve Allison
11ULA3B,G22LXX,XN,XX,2011-11-14,Steve Allison
11ULA3C,G22LXX,RX,XX,2011-11-14,Steve Allison
11ULB3A,G22LXX,XX,XN,2011-11-14,Steve Allison
11ULB3B,G22LXX,XN,XN,2011-11-14,Steve Allison
11ULC3A,G22LXX,XX,RX,2011-11-14,Steve Allison
11ULC3C,G22LXX,RX,RX,2011-11-14,Steve Allison
11URA3A,G22RXN,XX,XX,2011-11-14,Steve Allison
11URA3B,G22RXN,XN,XX,2011-11-14,Steve Allison
11URB3A,G22RXN,XX,XN,2011-11-14,Steve Allison
11URB3B,G22RXN,XN,XN,2011-11-14,Steve Allison
12ALA1A,G01LXN,XX,XX,2012-03-05,Steve Allison
12ALA1B,G01LXN,XN,XX,2012-03-05,Steve Allison
12ALB1A,G01LXN,XX,XN,2012-03-05,Steve Allison
12ALB1B,G01LXN,XN,XN,2012-03-05,Steve Allison
12ARA1A,G01RXX,XX,XX,2012-03-05,Steve Allison
12ARA1B,G01RXX,XN,XX,2012-03-05,Steve Allison
12ARA1C,G01RXX,RX,XX,2012-03-05,Steve Allison
12ARB1A,G01RXX,XX,XN,2012-03-05,Steve Allison
12ARB1B,G01RXX,XN,XN,2012-03-05,Steve Allison
12ARC1A,G01RXX,XX,RX,2012-03-05,Steve Allison
12ARC1C,G01RXX,RX,RX,2012-03-05,Steve Allison
12CLA1A,G03LRX,XX,XX,2012-03-05,Steve Allison
12CLA1C,G03LRX,RX,XX,2012-03-05,Steve Allison
12CLC1A,G03LRX,XX,RX,2012-03-05,Steve Allison
12CLC1C,G03LRX,RX,RX,2012-03-05,Steve Allison
12DLA1A,G04LXX,XX,XX,2012-03-05,Steve Allison
12DLA1B,G04LXX,XN,XX,2012-03-05,Steve Allison
12DLA1C,G04LXX,RX,XX,2012-03-05,Steve Allison
12DLB1A,G04LXX,XX,XN,2012-03-05,Steve Allison
12DLB1B,G04LXX,XN,XN,2012-03-05,Steve Allison
12DLC1A,G04LXX,XX,RX,2012-03-05,Steve Allison
12DLC1C,G04LXX,RX,RX,2012-03-05,Steve Allison
12DRA1A,G04RXN,XX,XX,2012-03-05,Steve Allison
12DRA1B,G04RXN,XN,XX,2012-03-05,Steve Allison
12DRB1A,G04RXN,XX,XN,2012-03-05,Steve Allison
12DRB1B,G04RXN,XN,XN,2012-03-05,Steve Allison
12ERA1A,G05RRX,XX,XX,2012-03-05,Steve Allison
12ERA1C,G05RRX,RX,XX,2012-03-05,Steve Allison
12ERC1A,G05RRX,XX,RX,2012-03-05,Steve Allison
12ERC1C,G05RRX,RX,RX,2012-03-05,Steve Allison
12GLA1A,G07LRX,XX,XX,2012-03-05,Steve Allison
12GLA1C,G07LRX,RX,XX,2012-03-05,Steve Allison
12GLC1A,G07LRX,XX,RX,2012-03-05,Steve Allison
12GLC1C,G07LRX,RX,RX,2012-03-05,Steve Allison
12HLA1A,G08LXX,XX,XX,2012-03-05,Steve Allison
12HLA1B,G08LXX,XN,XX,2012-03-05,Steve Allison
12HLA1C,G08LXX,RX,XX,2012-03-05,Steve Allison
12HLB1A,G08LXX,XX,XN,2012-03-05,Steve Allison
12HLB1B,G08LXX,XN,XN,2012-03-05,Steve Allison
12HLC1A,G08LXX,XX,RX,2012-03-05,Steve Allison
12HLC1C,G08LXX,RX,RX,2012-03-05,Steve Allison
