Litter_Bag_ID,Variable,Value,Protocol_ID,Units,Lab_Group
11HLA1B,FullBag,10.18,ProcessLitterbags,g,Steve Allison
11HLA1C,FullBag,11.11,ProcessLitterbags,g,Steve Allison
11HLA2A,FullBag,6.672,ProcessLitterbags,g,Steve Allison
11HLA2B,FullBag,6.579,ProcessLitterbags,g,Steve Allison
11HLA2C,FullBag,6.476,ProcessLitterbags,g,Steve Allison
11HLA3A,FullBag,22.201,ProcessLitterbags,g,Steve Allison
11HLA3B,FullBag,21.223,ProcessLitterbags,g,Steve Allison
11HLA3C,FullBag,20.938,ProcessLitterbags,g,Steve Allison
11HLB1A,FullBag,10.05,ProcessLitterbags,g,Steve Allison
11HLB1B,FullBag,8.81,ProcessLitterbags,g,Steve Allison
11HLB2A,FullBag,6.519,ProcessLitterbags,g,Steve Allison
11HLB2B,FullBag,6.318,ProcessLitterbags,g,Steve Allison
11HLB3A,FullBag,20.316,ProcessLitterbags,g,Steve Allison
11HLB3B,FullBag,20.141,ProcessLitterbags,g,Steve Allison
11HLC1A,FullBag,8.76,ProcessLitterbags,g,Steve Allison
11HLC1C,FullBag,9.66,ProcessLitterbags,g,Steve Allison
11HLC2A,FullBag,6.519,ProcessLitterbags,g,Steve Allison
11HLC2C,FullBag,6.45,ProcessLitterbags,g,Steve Allison
11HLC3A,FullBag,20.352,ProcessLitterbags,g,Steve Allison
11HLC3C,FullBag,20.522,ProcessLitterbags,g,Steve Allison
11HRA1A,FullBag,10.08,ProcessLitterbags,g,Steve Allison
11HRA1B,FullBag,11.65,ProcessLitterbags,g,Steve Allison
11HRA2A,FullBag,6.38,ProcessLitterbags,g,Steve Allison
11HRA2B,FullBag,6.54,ProcessLitterbags,g,Steve Allison
11HRA3A,FullBag,20.379,ProcessLitterbags,g,Steve Allison
11HRA3B,FullBag,21.191,ProcessLitterbags,g,Steve Allison
11HRB1A,FullBag,11.76,ProcessLitterbags,g,Steve Allison
11HRB1B,FullBag,11.54,ProcessLitterbags,g,Steve Allison
11HRB2A,FullBag,6.58,ProcessLitterbags,g,Steve Allison
11HRB2B,FullBag,6.47,ProcessLitterbags,g,Steve Allison
11HRB3A,FullBag,20.314,ProcessLitterbags,g,Steve Allison
11HRB3B,FullBag,20.217,ProcessLitterbags,g,Steve Allison
11JRA1A,FullBag,10.34,ProcessLitterbags,g,Steve Allison
11JRA1C,FullBag,8.28,ProcessLitterbags,g,Steve Allison
11JRA2A,FullBag,7,ProcessLitterbags,g,Steve Allison
11JRA2C,FullBag,6.7,ProcessLitterbags,g,Steve Allison
11JRA3A,FullBag,20.264,ProcessLitterbags,g,Steve Allison
11JRA3C,FullBag,19.813,ProcessLitterbags,g,Steve Allison
11JRC1A,FullBag,9.49,ProcessLitterbags,g,Steve Allison
11JRC1C,FullBag,8.53,ProcessLitterbags,g,Steve Allison
11JRC2A,FullBag,6.83,ProcessLitterbags,g,Steve Allison
11JRC2C,FullBag,6.71,ProcessLitterbags,g,Steve Allison
11JRC3A,FullBag,19.685,ProcessLitterbags,g,Steve Allison
11JRC3C,FullBag,20.275,ProcessLitterbags,g,Steve Allison
11KLA1A,FullBag,11.9,ProcessLitterbags,g,Steve Allison
11KLA1B,FullBag,11.99,ProcessLitterbags,g,Steve Allison
11KLA2A,FullBag,6.84,ProcessLitterbags,g,Steve Allison
11KLA2B,FullBag,6.76,ProcessLitterbags,g,Steve Allison
11KLA3A,FullBag,21.112,ProcessLitterbags,g,Steve Allison
11KLA3B,FullBag,19.997,ProcessLitterbags,g,Steve Allison
11KLB1A,FullBag,11.01,ProcessLitterbags,g,Steve Allison
11KLB1B,FullBag,11.1,ProcessLitterbags,g,Steve Allison
11KLB2A,FullBag,6.61,ProcessLitterbags,g,Steve Allison
11KLB2B,FullBag,6.61,ProcessLitterbags,g,Steve Allison
11KLB3A,FullBag,21.309,ProcessLitterbags,g,Steve Allison
11KLB3B,FullBag,20.589,ProcessLitterbags,g,Steve Allison
11KRA1A,FullBag,9.11,ProcessLitterbags,g,Steve Allison
11KRA1B,FullBag,10.7,ProcessLitterbags,g,Steve Allison
11KRA1C,FullBag,11.69,ProcessLitterbags,g,Steve Allison
11KRA2A,FullBag,6.69,ProcessLitterbags,g,Steve Allison
11KRA2B,FullBag,6.71,ProcessLitterbags,g,Steve Allison
11KRA2C,FullBag,6.84,ProcessLitterbags,g,Steve Allison
11KRA3A,FullBag,19.97,ProcessLitterbags,g,Steve Allison
11KRA3B,FullBag,20.631,ProcessLitterbags,g,Steve Allison
11KRA3C,FullBag,20.058,ProcessLitterbags,g,Steve Allison
11KRB1A,FullBag,10.46,ProcessLitterbags,g,Steve Allison
11KRB1B,FullBag,10.16,ProcessLitterbags,g,Steve Allison
11KRB2A,FullBag,6.61,ProcessLitterbags,g,Steve Allison
11KRB2B,FullBag,6.77,ProcessLitterbags,g,Steve Allison
11KRB3A,FullBag,20.874,ProcessLitterbags,g,Steve Allison
11KRB3B,FullBag,19.849,ProcessLitterbags,g,Steve Allison
11KRC1A,FullBag,10.67,ProcessLitterbags,g,Steve Allison
11KRC1C,FullBag,10.34,ProcessLitterbags,g,Steve Allison
11KRC2A,FullBag,6.75,ProcessLitterbags,g,Steve Allison
11KRC2C,FullBag,6.62,ProcessLitterbags,g,Steve Allison
11KRC3A,FullBag,20.154,ProcessLitterbags,g,Steve Allison
11KRC3C,FullBag,20.863,ProcessLitterbags,g,Steve Allison
11MRA1A,FullBag,9.26,ProcessLitterbags,g,Steve Allison
11MRA1C,FullBag,9.01,ProcessLitterbags,g,Steve Allison
11MRA2A,FullBag,6.6,ProcessLitterbags,g,Steve Allison
11MRA2C,FullBag,6.43,ProcessLitterbags,g,Steve Allison
11MRA3A,FullBag,19.78,ProcessLitterbags,g,Steve Allison
11MRA3C,FullBag,20.17,ProcessLitterbags,g,Steve Allison
11MRC1A,FullBag,9.36,ProcessLitterbags,g,Steve Allison
11MRC1C,FullBag,10.26,ProcessLitterbags,g,Steve Allison
11MRC2A,FullBag,6.62,ProcessLitterbags,g,Steve Allison
11MRC2C,FullBag,6.66,ProcessLitterbags,g,Steve Allison
11MRC3A,FullBag,20.15,ProcessLitterbags,g,Steve Allison
11MRC3C,FullBag,20.17,ProcessLitterbags,g,Steve Allison
11NRA1A,FullBag,9.41,ProcessLitterbags,g,Steve Allison
11NRA1C,FullBag,11.1,ProcessLitterbags,g,Steve Allison
11NRA2A,FullBag,6.68,ProcessLitterbags,g,Steve Allison
11NRA2C,FullBag,6.64,ProcessLitterbags,g,Steve Allison
11NRA3A,FullBag,19.64,ProcessLitterbags,g,Steve Allison
11NRA3C,FullBag,19.9,ProcessLitterbags,g,Steve Allison
11NRC1A,FullBag,10.58,ProcessLitterbags,g,Steve Allison
11NRC1C,FullBag,9.63,ProcessLitterbags,g,Steve Allison
11NRC2A,FullBag,6.77,ProcessLitterbags,g,Steve Allison
11NRC2C,FullBag,6.81,ProcessLitterbags,g,Steve Allison
11NRC3A,FullBag,19.93,ProcessLitterbags,g,Steve Allison
11NRC3C,FullBag,20.59,ProcessLitterbags,g,Steve Allison
11OLA1A,FullBag,10.16,ProcessLitterbags,g,Steve Allison
11OLA1B,FullBag,10.88,ProcessLitterbags,g,Steve Allison
11OLA2A,FullBag,6.79,ProcessLitterbags,g,Steve Allison
11OLA2B,FullBag,6.31,ProcessLitterbags,g,Steve Allison
11OLA3A,FullBag,19.98,ProcessLitterbags,g,Steve Allison
11OLA3B,FullBag,20.01,ProcessLitterbags,g,Steve Allison
11OLB1A,FullBag,11.85,ProcessLitterbags,g,Steve Allison
11OLB1B,FullBag,10.91,ProcessLitterbags,g,Steve Allison
11OLB2A,FullBag,6.58,ProcessLitterbags,g,Steve Allison
11OLB2B,FullBag,6.59,ProcessLitterbags,g,Steve Allison
11OLB3A,FullBag,19.97,ProcessLitterbags,g,Steve Allison
11OLB3B,FullBag,20.13,ProcessLitterbags,g,Steve Allison
11ORA1A,FullBag,10.32,ProcessLitterbags,g,Steve Allison
11ORA1B,FullBag,10.71,ProcessLitterbags,g,Steve Allison
11ORA1C,FullBag,10.69,ProcessLitterbags,g,Steve Allison
11ORA2A,FullBag,6.49,ProcessLitterbags,g,Steve Allison
11ORA2B,FullBag,6.58,ProcessLitterbags,g,Steve Allison
11ORA2C,FullBag,6.41,ProcessLitterbags,g,Steve Allison
11ORA3A,FullBag,20.46,ProcessLitterbags,g,Steve Allison
11ORA3B,FullBag,20.83,ProcessLitterbags,g,Steve Allison
11ORA3C,FullBag,21.59,ProcessLitterbags,g,Steve Allison
11ORB1A,FullBag,10.22,ProcessLitterbags,g,Steve Allison
11ORB1B,FullBag,9.79,ProcessLitterbags,g,Steve Allison
11ORB2A,FullBag,6.55,ProcessLitterbags,g,Steve Allison
11ORB2B,FullBag,6.53,ProcessLitterbags,g,Steve Allison
11ORB3A,FullBag,20.95,ProcessLitterbags,g,Steve Allison
11ORB3B,FullBag,20.23,ProcessLitterbags,g,Steve Allison
11ORC1A,FullBag,10.57,ProcessLitterbags,g,Steve Allison
11ORC1C,FullBag,10.78,ProcessLitterbags,g,Steve Allison
11ORC2A,FullBag,6.46,ProcessLitterbags,g,Steve Allison
11ORC2C,FullBag,6.96,ProcessLitterbags,g,Steve Allison
11ORC3A,FullBag,19.72,ProcessLitterbags,g,Steve Allison
11ORC3C,FullBag,20.11,ProcessLitterbags,g,Steve Allison
11QLA1A,FullBag,8.99,ProcessLitterbags,g,Steve Allison
11QLA1B,FullBag,9.69,ProcessLitterbags,g,Steve Allison
11QLA2A,FullBag,6.51,ProcessLitterbags,g,Steve Allison
11QLA2B,FullBag,6.49,ProcessLitterbags,g,Steve Allison
11QLA3A,FullBag,20.17,ProcessLitterbags,g,Steve Allison
11QLA3B,FullBag,20.47,ProcessLitterbags,g,Steve Allison
11QLB1A,FullBag,9.31,ProcessLitterbags,g,Steve Allison
11QLB1B,FullBag,10.69,ProcessLitterbags,g,Steve Allison
11QLB2A,FullBag,6.49,ProcessLitterbags,g,Steve Allison
11QLB2B,FullBag,6.42,ProcessLitterbags,g,Steve Allison
11QLB3A,FullBag,20.29,ProcessLitterbags,g,Steve Allison
11QLB3B,FullBag,20.08,ProcessLitterbags,g,Steve Allison
11QRA1A,FullBag,9.98,ProcessLitterbags,g,Steve Allison
11QRA1B,FullBag,14.73,ProcessLitterbags,g,Steve Allison
11QRA1C,FullBag,10.01,ProcessLitterbags,g,Steve Allison
11QRA2A,FullBag,6.67,ProcessLitterbags,g,Steve Allison
11QRA2B,FullBag,6.68,ProcessLitterbags,g,Steve Allison
11QRA2C,FullBag,6.47,ProcessLitterbags,g,Steve Allison
11QRA3A,FullBag,20.56,ProcessLitterbags,g,Steve Allison
11QRA3B,FullBag,20.85,ProcessLitterbags,g,Steve Allison
11QRA3C,FullBag,20.59,ProcessLitterbags,g,Steve Allison
11QRB1A,FullBag,10.54,ProcessLitterbags,g,Steve Allison
11QRB1B,FullBag,9.36,ProcessLitterbags,g,Steve Allison
11QRB2A,FullBag,6.52,ProcessLitterbags,g,Steve Allison
11QRB2B,FullBag,6.32,ProcessLitterbags,g,Steve Allison
11QRB3A,FullBag,20.78,ProcessLitterbags,g,Steve Allison
11QRB3B,FullBag,20.58,ProcessLitterbags,g,Steve Allison
11QRC1A,FullBag,9.34,ProcessLitterbags,g,Steve Allison
11QRC1C,FullBag,9.97,ProcessLitterbags,g,Steve Allison
11QRC2A,FullBag,6.52,ProcessLitterbags,g,Steve Allison
11QRC2C,FullBag,6.59,ProcessLitterbags,g,Steve Allison
11QRC3A,FullBag,21.2,ProcessLitterbags,g,Steve Allison
11QRC3C,FullBag,21.17,ProcessLitterbags,g,Steve Allison
11RLA1A,FullBag,10.84,ProcessLitterbags,g,Steve Allison
11RLA1B,FullBag,10.65,ProcessLitterbags,g,Steve Allison
11RLA1C,FullBag,11.1,ProcessLitterbags,g,Steve Allison
11RLA2A,FullBag,6.59,ProcessLitterbags,g,Steve Allison
11RLA2B,FullBag,6.51,ProcessLitterbags,g,Steve Allison
11RLA2C,FullBag,6.54,ProcessLitterbags,g,Steve Allison
11RLA3A,FullBag,21.12,ProcessLitterbags,g,Steve Allison
11RLA3B,FullBag,20.03,ProcessLitterbags,g,Steve Allison
11RLA3C,FullBag,20.67,ProcessLitterbags,g,Steve Allison
11RLB1A,FullBag,11.01,ProcessLitterbags,g,Steve Allison
11RLB1B,FullBag,10.89,ProcessLitterbags,g,Steve Allison
11RLB2A,FullBag,6.63,ProcessLitterbags,g,Steve Allison
11RLB2B,FullBag,6.73,ProcessLitterbags,g,Steve Allison
11RLB3A,FullBag,19.94,ProcessLitterbags,g,Steve Allison
11RLB3B,FullBag,21.28,ProcessLitterbags,g,Steve Allison
11RLC1A,FullBag,10.19,ProcessLitterbags,g,Steve Allison
11RLC1C,FullBag,9.84,ProcessLitterbags,g,Steve Allison
11RLC2A,FullBag,6.62,ProcessLitterbags,g,Steve Allison
11RLC2C,FullBag,6.89,ProcessLitterbags,g,Steve Allison
11RLC3A,FullBag,19.73,ProcessLitterbags,g,Steve Allison
11RLC3C,FullBag,20.55,ProcessLitterbags,g,Steve Allison
11RRA1A,FullBag,10.35,ProcessLitterbags,g,Steve Allison
11RRA1B,FullBag,11.35,ProcessLitterbags,g,Steve Allison
11RRA2A,FullBag,7.01,ProcessLitterbags,g,Steve Allison
11RRA2B,FullBag,6.64,ProcessLitterbags,g,Steve Allison
11RRA3A,FullBag,20.07,ProcessLitterbags,g,Steve Allison
11RRA3B,FullBag,19.97,ProcessLitterbags,g,Steve Allison
11RRB1A,FullBag,10.34,ProcessLitterbags,g,Steve Allison
11RRB1B,FullBag,10.61,ProcessLitterbags,g,Steve Allison
11RRB2A,FullBag,6.76,ProcessLitterbags,g,Steve Allison
11RRB2B,FullBag,6.43,ProcessLitterbags,g,Steve Allison
11RRB3A,FullBag,19.59,ProcessLitterbags,g,Steve Allison
11RRB3B,FullBag,20.1,ProcessLitterbags,g,Steve Allison
11SLA1A,FullBag,10.91,ProcessLitterbags,g,Steve Allison
11SLA1C,FullBag,9.34,ProcessLitterbags,g,Steve Allison
11SLA2A,FullBag,6.69,ProcessLitterbags,g,Steve Allison
11SLA2C,FullBag,7.02,ProcessLitterbags,g,Steve Allison
11SLA3A,FullBag,20.48,ProcessLitterbags,g,Steve Allison
11SLA3C,FullBag,20.2513,ProcessLitterbags,g,Steve Allison
11SLC1A,FullBag,10.43,ProcessLitterbags,g,Steve Allison
11SLC1C,FullBag,10.08,ProcessLitterbags,g,Steve Allison
11SLC2A,FullBag,6.88,ProcessLitterbags,g,Steve Allison
11SLC2C,FullBag,6.93,ProcessLitterbags,g,Steve Allison
11SLC3A,FullBag,19.9586,ProcessLitterbags,g,Steve Allison
11SLC3C,FullBag,20.5297,ProcessLitterbags,g,Steve Allison
11TLA1A,FullBag,11.85,ProcessLitterbags,g,Steve Allison
11TLA1C,FullBag,12.2,ProcessLitterbags,g,Steve Allison
11TLA2A,FullBag,6.25,ProcessLitterbags,g,Steve Allison
11TLA2C,FullBag,6.9,ProcessLitterbags,g,Steve Allison
11TLA3A,FullBag,20.328,ProcessLitterbags,g,Steve Allison
11TLA3C,FullBag,20.4045,ProcessLitterbags,g,Steve Allison
11TLC1A,FullBag,11.98,ProcessLitterbags,g,Steve Allison
11TLC1C,FullBag,11.26,ProcessLitterbags,g,Steve Allison
11TLC2A,FullBag,6.95,ProcessLitterbags,g,Steve Allison
11TLC2C,FullBag,6.89,ProcessLitterbags,g,Steve Allison
11TLC3A,FullBag,20.1439,ProcessLitterbags,g,Steve Allison
11TLC3C,FullBag,20.1953,ProcessLitterbags,g,Steve Allison
11ULA1A,FullBag,9.95,ProcessLitterbags,g,Steve Allison
11ULA1B,FullBag,10.73,ProcessLitterbags,g,Steve Allison
11ULA1C,FullBag,10.55,ProcessLitterbags,g,Steve Allison
11ULA2A,FullBag,6.63,ProcessLitterbags,g,Steve Allison
11ULA2B,FullBag,6.56,ProcessLitterbags,g,Steve Allison
11ULA2C,FullBag,6.59,ProcessLitterbags,g,Steve Allison
11ULA3A,FullBag,20.1206,ProcessLitterbags,g,Steve Allison
11ULA3B,FullBag,19.8855,ProcessLitterbags,g,Steve Allison
11ULA3C,FullBag,20.0449,ProcessLitterbags,g,Steve Allison
11ULB1A,FullBag,10.02,ProcessLitterbags,g,Steve Allison
11ULB1B,FullBag,10.09,ProcessLitterbags,g,Steve Allison
11ULB2A,FullBag,6.71,ProcessLitterbags,g,Steve Allison
11ULB2B,FullBag,6.56,ProcessLitterbags,g,Steve Allison
11ULB3A,FullBag,20.2285,ProcessLitterbags,g,Steve Allison
11ULB3B,FullBag,20.092,ProcessLitterbags,g,Steve Allison
11ULC1A,FullBag,10.15,ProcessLitterbags,g,Steve Allison
11ULC1C,FullBag,11.11,ProcessLitterbags,g,Steve Allison
11ULC2A,FullBag,6.24,ProcessLitterbags,g,Steve Allison
11ULC2C,FullBag,6.89,ProcessLitterbags,g,Steve Allison
11ULC3A,FullBag,20.5983,ProcessLitterbags,g,Steve Allison
11ULC3C,FullBag,19.7207,ProcessLitterbags,g,Steve Allison
11URA1A,FullBag,10.68,ProcessLitterbags,g,Steve Allison
11URA1B,FullBag,10.08,ProcessLitterbags,g,Steve Allison
11URA2A,FullBag,6.87,ProcessLitterbags,g,Steve Allison
11URA2B,FullBag,6.73,ProcessLitterbags,g,Steve Allison
11URA3A,FullBag,20.3233,ProcessLitterbags,g,Steve Allison
11URA3B,FullBag,20.2392,ProcessLitterbags,g,Steve Allison
11URB1A,FullBag,9.4,ProcessLitterbags,g,Steve Allison
11URB1B,FullBag,10.07,ProcessLitterbags,g,Steve Allison
11URB2A,FullBag,6.51,ProcessLitterbags,g,Steve Allison
11URB2B,FullBag,6.48,ProcessLitterbags,g,Steve Allison
11URB3A,FullBag,20.4148,ProcessLitterbags,g,Steve Allison
11URB3B,FullBag,20.6841,ProcessLitterbags,g,Steve Allison
12ALA1A,FullBag,19.88,ProcessLitterbags,g,Steve Allison
12ALA1B,FullBag,19.65,ProcessLitterbags,g,Steve Allison
12ALB1A,FullBag,19.98,ProcessLitterbags,g,Steve Allison
12ALB1B,FullBag,20.1,ProcessLitterbags,g,Steve Allison
12ARA1A,FullBag,19.84,ProcessLitterbags,g,Steve Allison
12ARA1B,FullBag,19.89,ProcessLitterbags,g,Steve Allison
12ARA1C,FullBag,20,ProcessLitterbags,g,Steve Allison
12ARB1A,FullBag,19.58,ProcessLitterbags,g,Steve Allison
12ARB1B,FullBag,20.05,ProcessLitterbags,g,Steve Allison
12ARC1A,FullBag,19.92,ProcessLitterbags,g,Steve Allison
12ARC1C,FullBag,19.75,ProcessLitterbags,g,Steve Allison
12C11,FullBag,20.03,ProcessLitterbags,g,Steve Allison
12C12,FullBag,19.66,ProcessLitterbags,g,Steve Allison
12C13,FullBag,20.06,ProcessLitterbags,g,Steve Allison
12C14,FullBag,20.1,ProcessLitterbags,g,Steve Allison
12CLA1A,FullBag,20.14,ProcessLitterbags,g,Steve Allison
12CLA1C,FullBag,19.59,ProcessLitterbags,g,Steve Allison
12CLC1A,FullBag,20.15,ProcessLitterbags,g,Steve Allison
12CLC1C,FullBag,20.11,ProcessLitterbags,g,Steve Allison
12DLA1A,FullBag,19.78,ProcessLitterbags,g,Steve Allison
12DLA1B,FullBag,19.86,ProcessLitterbags,g,Steve Allison
12DLA1C,FullBag,19.54,ProcessLitterbags,g,Steve Allison
12DLB1A,FullBag,19.84,ProcessLitterbags,g,Steve Allison
12DLB1B,FullBag,20.04,ProcessLitterbags,g,Steve Allison
12DLC1A,FullBag,19.96,ProcessLitterbags,g,Steve Allison
12DLC1C,FullBag,20.16,ProcessLitterbags,g,Steve Allison
12DRA1A,FullBag,20.03,ProcessLitterbags,g,Steve Allison
12DRA1B,FullBag,19.63,ProcessLitterbags,g,Steve Allison
12DRB1A,FullBag,19.72,ProcessLitterbags,g,Steve Allison
12DRB1B,FullBag,19.76,ProcessLitterbags,g,Steve Allison
12ERA1A,FullBag,20.06,ProcessLitterbags,g,Steve Allison
12ERA1C,FullBag,19.92,ProcessLitterbags,g,Steve Allison
12ERC1A,FullBag,19.94,ProcessLitterbags,g,Steve Allison
12ERC1C,FullBag,19.74,ProcessLitterbags,g,Steve Allison
